更新日期,平台,鞋款類別,商品名稱,價格,評價,評論數,賣家,賣家穩定度,網路價,優惠,推薦分數,價格說明,資料來源,商品連結
2026-05-21,momo購物網,未標示,【TOD’S】x MM6 MARGIELA 瑪莉珍鞋 / Kate / BARRETTA 豆豆鞋 樂福鞋 涼鞋-多款,14688,4.5,0,momo購物網,0.88,14688,0%,49.8,momo 搜尋頁售價,momo 即時搜尋資料,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=15260519&Area=search&mdiv=403&oid=1_13&cid=index&kw=S
2026-05-21,momo購物網,女鞋,【NIKE 耐吉】運動鞋 休閒鞋 女鞋 WMNS NIKE DUNK LOW 麂皮 板鞋 復古 銀色小勾  灰米 (IO4244105),0,5.0,1,momo購物網,0.88,0,0%,88.4,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=15162787&Area=search&mdiv=403&oid=1_22&cid=index&kw=Dunk
2026-05-21,momo購物網,童鞋,【NIKE 耐吉】休閒鞋_中大童 女性_NIKE DUNK LOW GS TOT_黑色 (HQ3815001),1111,4.9,12,momo購物網,0.88,1111,0%,86.1,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=15149548&Area=search&mdiv=403&oid=1_9&cid=index&kw=Dunk
2026-05-21,momo購物網,童鞋,【NIKE 耐吉】休閒鞋 籃球鞋 童鞋 DUNK TATUM G.T. CUT 多款任選 (FB9109114&FD7033004&FZ4352600),1190,4.9,31,momo購物網,0.88,1190,0%,87.1,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=15006044&Area=search&mdiv=403&oid=1_8&cid=index&kw=Dunk
2026-05-21,momo購物網,未標示,【NIKE 耐吉】休閒鞋_女_W NIKE DUNK LOW_白紫 (HF1985001),1404,5.0,3,momo購物網,0.88,1404,0%,87.0,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=15052777&Area=search&mdiv=403&oid=1_15&cid=index&kw=Dunk
2026-05-21,momo購物網,男女通用,【NIKE 耐吉】運動鞋 休閒鞋 男鞋 女鞋 NIKE DUNK LOW RETRO Midnight Navy 午夜藍 深藍(HF5441107),1880,4.9,33,momo購物網,0.88,1880,0%,86.1,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13674657&Area=search&mdiv=403&oid=1_12&cid=index&kw=Dunk
2026-05-21,momo購物網,男鞋,【NIKE 耐吉】DUNK LOW RETRO 男鞋 休閒鞋 運動鞋 白藍(HF5441107),1938,5.0,15,momo購物網,0.88,1938,0%,87.8,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13837108&Area=search&mdiv=403&oid=1_14&cid=index&kw=Dunk
2026-05-21,momo購物網,女鞋,【NIKE 耐吉】運動鞋 休閒鞋 女鞋 W NIKE DUNK LOW 緩震 抓地力 經典 低筒 灰白(DD1503103),2089,4.9,47,momo購物網,0.88,2089,0%,86.1,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14283973&Area=search&mdiv=403&oid=1_6&cid=index&kw=Dunk
2026-05-21,momo購物網,男女通用,【NIKE 耐吉】運動鞋 休閒鞋 女鞋 男鞋 W NIKE DUNK LOW SE 灰白 黑 雙勾 麂皮(HV1800101),2184,4.9,24,momo購物網,0.88,2184,0%,85.2,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13472589&Area=search&mdiv=403&oid=1_23&cid=index&kw=Dunk
2026-05-21,momo購物網,男女通用,【NIKE 耐吉】運動鞋 休閒鞋 情侶鞋 AIR FORCE 1 07 / DUNK 男鞋 女鞋 AF1 麂皮 黑白綠 多款(FZ0627-010&),2199,4.9,259,momo購物網,0.88,2199,0%,88.0,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13840658&Area=search&mdiv=403&oid=1_3&cid=index&kw=Dunk
2026-05-21,momo購物網,男女通用,【NIKE 耐吉】運動鞋 休閒鞋 NIKE SB DUNK LOW PRO 男鞋 女鞋 綠咖紅 多款(FV8493-401&),2199,4.8,18,momo購物網,0.88,2199,0%,82.0,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13613660&Area=search&mdiv=403&oid=1_16&cid=index&kw=Dunk
2026-05-21,momo購物網,男鞋,【NIKE 耐吉】運動鞋 滑板鞋 男鞋 NIKE SB DUNK LOW PRO 緩震 經典 撞色 棕 藍(HQ1625200),2280,5.0,6,momo購物網,0.88,2280,0%,86.3,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14910230&Area=search&mdiv=403&oid=1_20&cid=index&kw=Dunk
2026-05-21,momo購物網,男鞋,【NIKE 耐吉】休閒鞋 男鞋 運動鞋 DUNK LOW RETRO 灰白 HF5441-105,2422,5.0,13,momo購物網,0.88,2422,0%,86.9,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13622795&Area=search&mdiv=403&oid=1_26&cid=index&kw=Dunk
2026-05-21,momo購物網,男鞋,【NIKE 耐吉】DUNK LOW RETRO 男鞋 休閒鞋 運動鞋 灰白(HF5441105),2546,4.9,19,momo購物網,0.88,2546,0%,84.3,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13993143&Area=search&mdiv=403&oid=1_13&cid=index&kw=Dunk
2026-05-21,momo購物網,女鞋,【NIKE 耐吉】NIKE DUNK LOW 粉色 情人節 天鵝絨 愛心 女鞋 休閒鞋 IQ1145-610,2788,5.0,6,momo購物網,0.88,2788,0%,85.5,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=15073854&Area=search&mdiv=403&oid=1_19&cid=index&kw=Dunk
2026-05-21,momo購物網,女鞋,【NIKE 耐吉】休閒鞋 W Dunk Low 女鞋 白 金屬銀 復古 經典 FV1311-100,3021,4.5,0,momo購物網,0.88,3021,0%,68.7,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=15194437&Area=search&mdiv=403&oid=1_24&cid=index&kw=Dunk
2026-05-21,momo購物網,未標示,【NIKE 耐吉】NIKE DUNK LOW 'Pearl Pink' IO4244-100 粉紫 金屬小勾 麂皮 復古 休閒鞋,3030,5.0,1,momo購物網,0.88,3030,0%,83.5,momo 搜尋頁售價,momo 即時搜尋資料（已保存）, https://www.momoshop.com.tw/TP/TP0003634/goodsDetail/TP00036340001267
2026-05-21,momo購物網,男鞋,【NIKE 耐吉】休閒鞋 Dunk Low GTX 男鞋 白 灰 防水 皮革 經典 HQ2053-100,4122,4.8,12,momo購物網,0.88,4122,0%,78.4,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14875866&Area=search&mdiv=403&oid=1_21&cid=index&kw=Dunk
